uid,title,genre,popularity,ranked,score
32365,Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,"['Action', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",1718,1582.0,7.54
9645,Be-Bop Highschool,"['Comedy', 'School', 'Seinen']",6715,1581.0,7.54
9693,Moshidora,"['Drama', 'Sports']",3297,4001.0,6.95
2144,Naruto Movie 3: Dai Koufun! Mikazuki Jima no Animaru Panikku Dattebayo!,"['Action', 'Adventure']",881,4002.0,6.95
1916,Mobile Suit Gundam MS IGLOO: Apocalypse 0079,"['Mecha', 'Military', 'Sci-Fi', 'Space']",4259,4000.0,6.95
796,Mahoujin Guru Guru Movie,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']",8623,3999.0,6.95
3019,Lupin III: Kiri no Elusive,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Seinen']",6299,3998.0,6.95
10122,Kowarekake no Orgel Special,"['Sci-Fi', 'Slice of Life', 'Drama', 'Seinen']",4542,3996.0,6.95
1578,Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Sci-Fi', 'Shoujo']",4522,3995.0,6.95
9013,Kuruneko 2nd Season,"['Comedy', 'Slice of Life']",9468,3997.0,6.95
33454,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: The Final - Ryoutsu Kakichi Saigo no Hi,"['Slice of Life', 'Comedy', 'Police', 'Shounen']",10699,3994.0,6.95
29,Zipang,"['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']",3729,1580.0,7.55
1707,Kinnikuman II Sei,"['Action', 'Sci-Fi', 'Comedy', 'Sports', 'Martial Arts', 'Shounen']",4258,3993.0,6.95
33302,Yowamushi Pedal: Spare Bike,"['Comedy', 'Sports', 'Drama', 'Shounen']",4775,1578.0,7.55
691,Yawara!,"['Action', 'Slice of Life', 'Martial Arts', 'Sports', 'Comedy', 'Romance', 'Drama']",4016,1577.0,7.55
481,Yu☆Gi☆Oh! Duel Monsters,"['Adventure', 'Game', 'Shounen']",454,1579.0,7.55
21671,Keroro,"['Comedy', 'Sci-Fi', 'Shounen']",5464,3992.0,6.95
10714,Towa no Quon 3: Mugen no Renza,"['Action', 'Sci-Fi', 'Super Power', 'Psychological', 'Supernatural']",2697,1576.0,7.55
39495,Totsukuni no Shoujo,"['Supernatural', 'Shounen']",4465,1575.0,7.55
1637,Kaze to Ki no Uta Sanctus: Sei Naru Kana,"['Drama', 'Historical', 'Romance', 'Shoujo', 'Shounen Ai']",4434,3991.0,6.95
20423,Kamisama no Inai Nichiyoubi: Kioku,"['Mystery', 'Fantasy']",2887,3990.0,6.95
642,Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi e,"['Ecchi', 'Romance', 'Shounen']",3583,3989.0,6.95
811,I''s Pure,"['Comedy', 'Drama', 'Ecchi', 'Romance', 'School']",3091,3988.0,6.95
10731,Tennis no Ouji-sama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",4692,1574.0,7.55
25011,Fate/kaleid liner Prisma☆Illya 2wei! Specials,"['Comedy', 'Ecchi', 'Fantasy', 'Magic']",2722,3987.0,6.95
14189,Tasogare Otome x Amnesia: Taima Otome,"['Horror', 'Mystery', 'Romance', 'School', 'Shounen', 'Supernatural']",1737,1573.0,7.55
502,Dragon Ball Movie 1: Shen Long no Densetsu,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Super Power']",2051,3986.0,6.95
40001,Schoolyard,"['Dementia', 'Music']",12289,1572.0,7.55
37496,Double Decker! Doug & Kirill,"['Action', 'Sci-Fi', 'Comedy', 'Police']",2748,3985.0,6.95
37476,Cardfight!! Vanguard (2018),"['Action', 'Game', 'Shounen']",5688,3984.0,6.95
9547,Alps no Shoujo Heidi (1979),"['Drama', 'Historical', 'Slice of Life']",7063,3983.0,6.95
166,Samurai 7,"['Historical', 'Mecha', 'Samurai', 'Sci-Fi']",1113,1571.0,7.55
35285,A-Channel: Nabe wo Tabeyou,"['Comedy', 'School', 'Seinen', 'Slice of Life']",5491,3982.0,6.95
2404,Zombie-Loan,"['Action', 'Horror', 'Shounen', 'Supernatural']",977,3981.0,6.96
40351,Pokemon (2019),"['Action', 'Adventure', 'Comedy', 'Kids', 'Fantasy']",3434,1569.0,7.54
31838,Ze Tian Ji,"['Action', 'Adventure', 'Fantasy']",6614,3980.0,6.96
16287,One Piece: Romance Dawn,"['Action', 'Comedy', 'Super Power', 'Fantasy', 'Shounen']",3814,1568.0,7.55
14123,Pokemon Black and White 2: Introduction Movie,"['Action', 'Fantasy', 'Kids']",3961,1570.0,7.55
11933,Oda Nobuna no Yabou,"['Comedy', 'Historical', 'Romance']",504,1567.0,7.55
34471,Youkai Watch Movie 4: Shadow Side - Oni-ou no Fukkatsu,"['Demons', 'Kids', 'Supernatural']",9602,3979.0,6.96
1024,Weiß Kreuz OVA,"['Action', 'Drama']",5816,3978.0,6.96
31909,Wakaba*Girl: Onsen Tsukaritai,"['Comedy', 'Slice of Life']",5075,3977.0,6.96
30355,Wakaba*Girl,"['Comedy', 'School', 'Slice of Life']",2415,3976.0,6.96
15933,Vassalord.,"['Action', 'Comedy', 'Fantasy', 'Mystery', 'Shounen Ai', 'Supernatural', 'Vampire']",2925,3975.0,6.96
36871,Ultraman,"['Action', 'Sci-Fi', 'Seinen', 'Super Power']",3923,3974.0,6.96
1129,UFO Princess Valkyrie: Shichiten Battou Hanayome Shuugyou,"['Sci-Fi', 'Comedy', 'Romance']",6954,3973.0,6.96
27509,Toaru Majutsu no Index 10th Anniversary PV,"['Action', 'Comedy', 'Magic', 'Sci-Fi', 'Super Power']",4405,3972.0,6.96
1720,To Heart 2 OVA,"['Comedy', 'Drama', 'Harem', 'Romance', 'School']",5444,3971.0,6.96
4166,To Heart 2 AD,"['Comedy', 'Ecchi', 'Romance']",5581,3970.0,6.96
1587,Tenpou Ibun: Ayakashi Ayashi,"['Supernatural', 'Demons', 'Historical']",3821,3969.0,6.96
35585,Stella-Rium,['Music'],10491,3968.0,6.96
7375,Shakugan no Shana S Specials,"['Comedy', 'Parody']",3082,3967.0,6.96
12137,Robotica*Robotics,"['Slice of Life', 'Psychological', 'Sci-Fi', 'Shounen Ai']",4228,3966.0,6.96
11227,Rinne no Lagrange,"['Action', 'Sci-Fi', 'Comedy', 'Mecha']",1832,3965.0,6.96
33372,Overlord: Ple Ple Pleiades - Nazarick Saidai no Kiki,"['Action', 'Comedy', 'Magic', 'Fantasy']",2232,3964.0,6.96
25099,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken","['Comedy', 'Ecchi', 'Harem', 'Romance', 'School']",692,3963.0,6.96
37926,Nakanohito Genome [Jikkyouchuu],"['Game', 'Comedy', 'Drama']",1838,3961.0,6.96
5023,Ninpuu Kamui Gaiden,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Samurai']",9131,3962.0,6.96
31442,Musaigen no Phantom World,"['Action', 'Comedy', 'Fantasy', 'Slice of Life', 'Supernatural']",309,3960.0,6.96
34209,Meiji Tokyo Renka,"['Historical', 'Supernatural', 'Romance', 'Shoujo']",3219,3959.0,6.96
20141,Lupin III: Princess of the Breeze - Kakusareta Kuuchuu Toshi,"['Action', 'Adventure', 'Comedy', 'Seinen']",6581,3958.0,6.96
10893,Kyousou Giga,"['Action', 'Fantasy', 'Supernatural']",2235,3957.0,6.96
10720,Korekuraide Utau,['Music'],7782,3956.0,6.96
5713,Minami-ke Betsubara,"['Comedy', 'Slice of Life']",2799,1566.0,7.55
143,Kannazuki no Miko,"['Supernatural', 'Drama', 'Magic', 'Romance', 'Mecha', 'Shounen', 'Shoujo Ai']",1774,3955.0,6.96
15051,Love Live! School Idol Project,"['Slice of Life', 'Music', 'School']",334,1565.0,7.55
15437,"Kore wa Zombie Desu ka? of the Dead: Hai, Minotake ni Attemasu","['Action', 'Harem', 'Comedy', 'Supernatural', 'Magic', 'Ecchi']",1329,1564.0,7.55
9675,Kami nomi zo Shiru Sekai: Flag 0,"['Comedy', 'Shounen', 'Supernatural']",1935,3954.0,6.96
1289,Kidou Keisatsu Patlabor: New OVA,"['Sci-Fi', 'Comedy', 'Police', 'Mecha']",5215,1563.0,7.55
38533,Huyao Xiao Hongniang: Zhu Ye,"['Comedy', 'Historical', 'Supernatural', 'Drama', 'Romance']",7679,1560.0,7.55
9366,Kaichou wa Maid-sama!: Omake dayo!,"['Comedy', 'School', 'Shoujo']",1368,1561.0,7.55
32215,High School DxD BorN: Yomigaeranai Fushichou,"['Action', 'Ecchi', 'Comedy', 'Harem', 'Romance', 'Demons', 'School']",1517,1559.0,7.55
37109,Hakumei to Mikochi: Neji to Bed to Irori to Bakuchi,"['Slice of Life', 'Fantasy', 'Seinen']",5543,1558.0,7.55
2409,Gokudou-kun Manyuuki,"['Adventure', 'Comedy', 'Fantasy', 'Magic']",4122,1557.0,7.55
1393,Future GPX Cyber Formula Zero,"['Drama', 'Sci-Fi', 'Shounen', 'Sports']",8321,1556.0,7.55
14669,Aura: Maryuuin Kouga Saigo no Tatakai,"['Supernatural', 'Drama', 'Romance', 'School']",2253,1555.0,7.55
